taskID  subjectID  prediction   mu     numLeft    numRight  signal  reactionTime
T495b        3        5        40        90        50        blue        35
T376b        3        10        30        70        60        blue        13
T859b        3        45        80        50        90        blue        23
T782r        3        55        70        80        20        red        12
T914r        3        10        90        10        40        red        15
T597b        3        6        50        90        70        blue        15
T421b        3        35        40        20        10        blue        81
T932b        3        64        90        30        20        blue        11
T792r        3        64        70        90        20        red        13
T852b        4        60        80        50        20        blue        13
T735b        4        45        70        30        50        blue        83
T495b        4        55        40        90        50        blue        21
T235r        4        45        20        30        50        red        13
T762r        4        42        70        60        20        red        28
T649b        4        36        60        40        90        blue        23
T168r        4        6        10        60        80        red        21
T398b        4        27        30        90        80        blue        10
T852r        4        40        80        50        20        red        8
T512b        4        45        50        10        20        blue        23
T627r        4        48        60        20        70        red        8
T168b        4        4        10        60        80        blue        8
T189r        4        2        10        80        90        red        10
T741r        4        45        70        40        10        red        13
T948r        4        55        90        40        80        red        8
T523r        4        10        50        20        30        red        22
T427r        4        8        40        20        70        red        12
T627b        4        49        60        20        70        blue        11
T473b        4        15        40        70        30        blue        20
T486r        4        35        40        80        60        red        12
T649r        4        25        60        40        90        red        18
T328b        4        25        30        20        80        blue        22
T974b        4        30        90        70        40        blue        21
T893b        4        8        80        90        30        blue        24
T762b        4        28        70        60        20        blue        13
T893r        4        72        80        90        30        red        12
T298r        4        18        20        90        80        red        14
T495r        4        36        40        90        50        red        31
T948b        4        55        90        40        80        blue        14
T175r        4        3        10        70        50        red        18
T756b        4        35        70        50        60        blue        21
T512r        4        5        50        10        20        red        28
T532b        4        35        50        30        20        blue        29
T745r        4        24        70        40        50        red        28
T741b        4        42        70        40        10        blue        12
T427b        4        32        40        20        70        blue        17
T619r        4        6        60        10        90        red        15
T328r        4        6        30        20        80        red        12
T735r        4        21        70        30        50        red        20
T532r        4        15        50        30        20        red        25
T189b        4        2        10        80        90        blue        15
T397b        4        3        30        90        70        blue        11
T397r        4        27        30        90        70        red        15
T856r        4        40        80        50        60        red        20
T473r        4        28        40        70        30        red        54
T974r        4        65        90        70        40        red        16
T523b        4        41        50        20        30        blue        15
T756r        4        36        70        50        60        red        14
T745b        4        45        70        40        50        blue        18
T856b        4        45        80        50        60        blue        17
T879b        4        25        80        70        90        blue        29
T658r        4        32        60        50        80        red        20
T398r        4        30        30        90        80        red        22
T298b        4        3        20        90        80        blue        12
T879r        4        58        80        70        90        red        13
T486b        4        10        40        80        60        blue        14
T235b        4        15        20        30        50        blue        25
T658b        4        35        60        50        80        blue        17
T175b        4        3        10        70        50        blue        8
T619b        4        55        60        10        90        blue        8
T541b        5        80        50        40        10        blue        539
T698b        5        60        60        90        80        blue        80
T468b        5        60        40        60        80        blue        190
T938b        5        90        90        30        80        blue        32
T894r        5        80        80        90        40        red        65
T319r        5        30        30        10        90        red        11
T758b        5        50        70        50        80        blue        19
T453r        5        20        40        50        30        red        480
T317b        5        3        30        10        70        blue        60
T241b        5        8        20        40        10        blue        84
T541r        5        20        50        40        10        red        22
T698r        5        55        60        90        80        red        39
T418b        5        4        40        10        80        blue        25
T918b        5        10        90        10        80        blue        23
T719b        5        63        70        10        90        blue        81
T915r        5        80        90        10        50        red        141
T418r        5        4        40        10        80        red        234
T948b        5        54        90        40        80        blue        19
T732b        5        49        70        30        20        blue        67
T894b        5        8        80        90        40        blue        57
T739b        5        49        70        30        90        blue        14
T861r        5        48        80        60        10        red        28
T345r        5        12        30        40        50        red        52
T453b        5        20        40        50        30        blue        19
T783r        5        56        70        80        30        red        20
T317r        5        3        30        10        70        red        22
T674r        5        42        60        70        40        red        13
T345b        5        12        30        40        50        blue        12
T674b        5        42        60        70        40        blue        20
T834r        5        24        80        30        40        red        37
T876b        5        56        80        70        60        blue        14
T915b        5        81        90        10        50        blue        22
T758r        5        35        70        50        80        red        59
T783b        5        14        70        80        30        blue        13
T861b        5        32        80        60        10        blue        30
T968b        5        36        90        60        80        blue        15
T914r        5        9        90        10        40        red        21
T914b        5        81        90        10        40        blue        37
T391b        5        3        30        90        10        blue        14
T241r        5        8        20        40        10        red        16
T231r        5        6        20        30        10        red        29
T718b        5        63        70        10        80        blue        50
T739r        5        21        70        30        90        red        19
T968r        5        54        90        60        80        red        12
T719r        5        7        70        10        90        red        11
T938r        5        27        90        30        80        red        14
T319b        5        27        30        10        90        blue        22
T948r        5        36        90        40        80        red        16
T834b        5        76        80        30        40        blue        46
T231b        5        14        20        30        10        blue        14
T918r        5        9        90        10        80        red        16
T791r        5        63        70        90        10        red        15
T468r        5        24        40        60        80        red        16
T718r        5        7        70        10        80        red        10
T391r        5        27        30        90        10        red        20
T876r        5        66        80        70        60        red        16
T732r        5        20        70        30        20        red        27
T791b        5        3        70        90        10        blue        13
T194b        5        1        10        90        40        blue        22
T194r        5        9        10        90        40        red        21
T942b        6        54        90        40        20        blue        110
T534r        6        15        50        30        40        red        22
T829b        6        64        80        20        90        blue        18
T584r        6        40        50        80        40        red        33
T618r        6        49        60        10        80        red        233
T264b        6        10        20        60        40        blue        48
T782r        6        35        70        80        20        red        12
T391r        6        15        30        90        10        red        15
T842b        6        34        80        40        20        blue        32
T376b        6        10        30        70        60        blue        39
T613b        6        48        60        10        30        blue        27
T275b        6        8        20        70        50        blue        16
T489r        6        34        40        80        90        red        16
T275r        6        12        20        70        50        red        13
T381r        6        13        30        80        10        red        18
T729b        6        31        70        20        90        blue        14
T139r        6        6        10        30        90        red        16
T852r        6        28        80        50        20        red        21
T791b        6        35        70        90        10        blue        13
T182b        6        5        10        80        20        blue        11
T617b        6        36        60        10        70        blue        18
T864r        6        40        80        60        40        red        13
T729r        6        38        70        20        90        red        18
T379b        6        6        30        70        90        blue        14
T864b        6        40        80        60        40        blue        15
T264r        6        10        20        60        40        red        20
T381b        6        6        30        80        10        blue        44
T268r        6        12        20        60        80        red        13
T617r        6        6        60        10        70        red        23
T489b        6        8        40        80        90        blue        13
T791r        6        63        70        90        10        red        12
T258b        6        10        20        50        80        blue        22
T618b        6        54        60        10        80        blue        13
T627b        6        48        60        20        70        blue        13
T613r        6        6        60        10        30        red        12
T584b        6        10        50        80        40        blue        13
T782b        6        14        70        80        20        blue        11
T379r        6        21        30        70        90        red        11
T268b        6        8        20        60        80        blue        11
T231b        6        14        20        30        10        blue        11
T725b        6        56        70        20        50        blue        16
T519b        6        45        50        10        90        blue        11
T852b        6        40        80        50        20        blue        13
T139b        6        7        10        30        90        blue        11
T615b        6        54        60        10        50        blue        13
T135r        6        3        10        30        50        red        13
T231r        6        6        20        30        10        red        13
T627r        6        12        60        20        70        red        11
T534b        6        35        50        30        40        blue        10
T376r        6        21        30        70        60        red        10
T519r        6        5        50        10        90        red        10
T829r        6        16        80        20        90        red        10
T842r        6        32        80        40        20        red        13
T391b        6        3        30        90        10        blue        9
T135b        6        7        10        30        50        blue        13
T725r        6        14        70        20        50        red        10
T615r        6        6        60        10        50        red        10
T942r        6        36        90        40        20        red        11
T258r        6        10        20        50        80        red        12
T182r        6        8        10        80        20        red        11
T913b        7        65        90        10        30        blue        17
T374b        7        70        30        70        40        blue        18
T136r        7        30        10        30        60        red        7
T924r        7        20        90        20        40        red        7
T723r        7        20        70        20        30        red        4
T627b        7        75        60        20        70        blue        6
T723b        7        80        70        20        30        blue        6
T721r        7        65        70        20        10        red        8
T924b        7        60        90        20        40        blue        7
T962b        7        35        90        60        20        blue        7
T189b        7        65        10        80        90        blue        5
T326b        7        65        30        20        60        blue        9
T765r        7        55        70        60        50        red        5
T952r        7        70        90        50        20        red        6
T728b        7        80        70        20        80        blue        5
T136b        7        65        10        30        60        blue        9
T716b        7        70        70        10        60        blue        5
T721b        7        45        70        20        10        blue        7
T543b        7        45        50        40        30        blue        4
T716r        7        15        70        10        60        red        6
T168b        7        65        10        60        80        blue        4
T935b        7        60        90        30        50        blue        5
T198b        7        35        10        90        80        blue        5
T374r        7        65        30        70        40        red        9
T625b        7        60        60        20        50        blue        5
T193b        7        15        10        90        30        blue        4
T543r        7        60        50        40        30        red        5
T182b        7        20        10        80        20        blue        4
T952b        7        40        90        50        20        blue        4
T573r        7        70        50        70        30        red        4
