taskID  subjectID  prediction   mu     numLeft    numRight  signal  reactionTime
T879r        60        20        80        70        90        red        5
T261r        60        40        20        60        10        red        5
T324b        60        50        30        20        40        blue        9
T961r        60        20        90        60        10        red        5
T651b        60        40        60        50        10        blue        7
T593b        60        30        50        90        30        blue        6
T142r        60        40        10        40        20        red        4
T528r        60        10        50        20        80        red        11
T431b        60        30        40        30        10        blue        5
T651r        60        30        60        50        10        red        469
T438r        60        30        40        30        80        red        4
T678r        60        50        60        70        80        red        41
T324r        60        20        30        20        40        red        4
T932b        60        10        90        30        20        blue        4
T932r        60        40        90        30        20        red        6
T913b        60        50        90        10        30        blue        4
T378b        60        20        30        70        80        blue        12
T739b        60        90        70        30        90        blue        9
T378r        60        30        30        70        80        red        15
T721r        60        80        70        20        10        red        9
T348r        60        60        30        40        80        red        9
T382b        60        80        30        80        20        blue        8
T518b        60        80        50        10        80        blue        10
T356r        60        50        30        50        60        red        11
T382r        60        20        30        80        20        red        15
T261b        60        60        20        60        10        blue        25
T348b        60        60        30        40        80        blue        8
T961b        60        40        90        60        10        blue        12
T237r        60        70        20        30        70        red        11
T381r        60        20        30        80        10        red        7
T598r        60        10        50        90        80        red        10
T381b        60        80        30        80        10        blue        16
T138r        60        70        10        30        80        red        11
T913r        60        90        90        10        30        red        13
T943r        60        60        90        40        30        red        10
T678b        60        60        60        70        80        blue        37
T518r        60        50        50        10        80        red        5
T598b        60        50        50        90        80        blue        5
T548b        60        50        50        40        80        blue        4
T431r        60        60        40        30        10        red        5
T548r        60        50        50        40        80        red        4
T138b        60        10        10        30        80        blue        9
T721b        60        30        70        20        10        blue        6
T593r        60        50        50        90        30        red        3
T528b        60        50        50        20        80        blue        4
T953b        60        90        90        50        30        blue        5
T356b        60        70        30        50        60        blue        86
T879b        60        80        80        70        90        blue        10
T257r        60        20        20        50        70        red        4
T364r        60        70        30        60        40        red        8
T257b        60        80        20        50        70        blue        9
T142b        60        10        10        40        20        blue        5
T352b        61        70        30        50        20        blue        47
T635b        61        60        60        30        50        blue        30
T325b        61        70        30        20        50        blue        22
T538b        61        60        50        30        80        blue        20
T132b        61        35        10        30        20        blue        45
T561r        61        60        50        60        10        red        24
T395b        61        10        30        90        50        blue        19
T631r        61        30        60        30        10        red        25
T296b        61        10        20        90        60        blue        16
T918r        61        10        90        10        80        red        14
T148b        61        60        10        40        80        blue        17
T537r        61        30        50        30        70        red        16
T148r        61        40        10        40        80        red        8
T481b        61        20        40        80        10        blue        23
T498r        61        90        40        90        80        red        25
T876r        61        70        80        70        60        red        8
T397r        61        90        30        90        70        red        14
T947b        61        60        90        40        70        blue        8
T246b        61        60        20        40        60        blue        9
T613r        61        10        60        10        30        red        12
T397b        61        10        30        90        70        blue        11
T576r        61        50        50        70        60        red        12
T538r        61        50        50        30        80        red        9
T153b        61        80        10        50        30        blue        15
T325r        61        20        30        20        50        red        17
T153r        61        50        10        50        30        red        16
T635r        61        50        60        30        50        red        13
T246r        61        40        20        40        60        red        20
T945b        61        85        90        40        50        blue        11
T437b        61        50        40        30        70        blue        17
T296r        61        40        20        90        60        red        20
T576b        61        50        50        70        60        blue        17
T395r        61        60        30        90        50        red        15
T827b        61        80        80        20        70        blue        13
T193b        61        10        10        90        30        blue        18
T132r        61        50        10        30        20        red        13
T437r        61        40        40        30        70        red        15
T561b        61        40        50        60        10        blue        17
T361r        61        70        30        60        10        red        13
T183r        61        70        10        80        30        red        11
T947r        61        60        90        40        70        red        20
T817b        61        85        80        10        70        blue        14
T481r        61        80        40        80        10        red        17
T571r        61        40        50        70        10        red        10
T631b        61        50        60        30        10        blue        22
T613b        61        70        60        10        30        blue        32
T945r        61        50        90        40        50        red        16
T571b        61        40        50        70        10        blue        13
T179b        61        70        10        70        90        blue        15
T183b        61        39        10        80        30        blue        9
T876b        61        50        80        70        60        blue        13
T179r        61        20        10        70        90        red        10
T352r        61        60        30        50        20        red        10
T361b        61        30        30        60        10        blue        11
T817r        61        80        80        10        70        red        10
T827r        61        35        80        20        70        red        12
T537b        61        65        50        30        70        blue        11
T498b        61        50        40        90        80        blue        15
T193r        61        70        10        90        30        red        13
T918b        61        90        90        10        80        blue        12
T879b        62        75        80        70        90        blue        64
T879r        62        50        80        70        90        red        190
T729r        62        18        70        20        90        red        633
T259b        62        20        20        50        90        blue        495
T567b        62        70        50        60        70        blue        162
T632b        62        77        60        30        20        blue        125
T513b        62        56        50        10        30        blue        27
T279b        62        75        20        70        90        blue        167
T571b        62        25        50        70        10        blue        113
T279r        62        43        20        70        90        red        10
T254b        62        30        20        50        40        blue        11
T587b        62        40        50        80        70        blue        34
T294b        62        20        20        90        40        blue        9
T254r        62        70        20        50        40        red        571
T714r        62        25        70        10        40        red        14
T294r        62        70        20        90        40        red        33
T127r        62        30        10        20        70        red        12
T537b        62        70        50        30        70        blue        14
T378r        62        50        30        70        80        red        8
T658r        62        38        60        50        80        red        40
T513r        62        25        50        10        30        red        73
T172r        62        78        10        70        20        red        43
T951b        62        43        90        50        10        blue        7
T415r        62        17        40        10        50        red        7
T951r        62        83        90        50        10        red        8
T127b        62        77        10        20        70        blue        7
T196b        62        20        10        90        60        blue        28
T924b        62        75        90        20        40        blue        6
T128b        62        80        10        20        80        blue        10
T714b        62        66        70        10        40        blue        13
T247r        62        35        20        40        70        red        6
T658b        62        60        60        50        80        blue        8
T159r        62        40        10        50        90        red        6
T632r        62        60        60        30        20        red        9
T587r        62        60        50        80        70        red        7
T159b        62        83        10        50        90        blue        7
T784r        62        66        70        80        40        red        7
T415b        62        65        40        10        50        blue        37
T128r        62        20        10        20        80        red        6
T378b        62        60        30        70        80        blue        10
T438b        62        80        40        30        80        blue        6
T592b        62        11        50        90        20        blue        24
T716b        62        75        70        10        60        blue        6
T537r        62        30        50        30        70        red        6
T924r        62        33        90        20        40        red        7
T571r        62        83        50        70        10        red        10
T716r        62        29        70        10        60        red        22
T247b        62        65        20        40        70        blue        5
T529r        62        36        50        20        90        red        4
T172b        62        34        10        70        20        blue        9
T784b        62        25        70        80        40        blue        7
T729b        62        85        70        20        90        blue        9
T592r        62        82        50        90        20        red        22
T264b        62        40        20        60        40        blue        6
T196r        62        60        10        90        60        red        22
T259r        62        42        20        50        90        red        10
T567r        62        60        50        60        70        red        9
T529b        62        80        50        20        90        blue        5
T264r        62        60        20        60        40        red        4
T438r        62        35        40        30        80        red        5
T318b        63        5        30        10        80        blue        48
T296b        63        4        20        90        60        blue        212
T368b        63        14        30        60        80        blue        26
T628r        63        11        60        20        80        red        20
T769b        63        55        70        60        90        blue        263
T398b        63        10        30        90        80        blue        13
T296r        63        18        20        90        60        red        390
T627r        63        35        60        20        70        red        67
T856r        63        62        80        50        60        red        15
T897r        63        68        80        90        70        red        18
T618b        63        81        60        10        80        blue        13
T368r        63        22        30        60        80        red        128
T582b        63        60        50        80        20        blue        32
T457r        63        35        40        50        70        red        211
T624r        63        15        60        20        40        red        277
T398r        63        32        30        90        80        red        18
T697r        63        82        60        90        70        red        63
T762r        63        59        70        60        20        red        27
T846b        63        75        80        40        60        blue        107
T129r        63        3        10        20        90        red        130
T652b        63        56        60        50        20        blue        103
T129b        63        22        10        20        90        blue        14
T856b        63        65        80        50        60        blue        238
T926b        63        79        90        20        60        blue        14
T679b        63        82        60        70        90        blue        17
T693r        63        88        60        90        30        red        131
T846r        63        65        80        40        60        red        19
T437b        63        67        40        30        70        blue        65
T169b        63        12        10        60        90        blue        26
T318r        63        9        30        10        80        red        13
T459b        63        61        40        50        90        blue        101
T976r        63        92        90        70        60        red        17
T769r        63        58        70        60        90        red        11
T897b        63        62        80        90        70        blue        260
T437r        63        22        40        30        70        red        13
T459r        63        32        40        50        90        red        17
T972b        63        6        90        70        20        blue        14
T169r        63        34        10        60        90        red        15
T973b        63        58        90        70        30        blue        16
T693b        63        32        60        90        30        blue        29
T861r        63        92        80        60        10        red        11
T375b        63        10        30        70        50        blue        17
T618r        63        20        60        10        80        red        9
T375r        63        36        30        70        50        red        8
T627b        63        82        60        20        70        blue        50
T679r        63        46        60        70        90        red        10
T962r        63        88        90        60        20        red        9
T628b        63        79        60        20        80        blue        14
T972r        63        85        90        70        20        red        9
T973r        63        87        90        70        30        red        10
T962b        63        52        90        60        20        blue        12
T697b        63        25        60        90        70        blue        15
T652r        63        65        60        50        20        red        34
T976b        63        78        90        70        60        blue        15
T582r        63        80        50        80        20        red        8
T861b        63        56        80        60        10        blue        11
T762b        63        52        70        60        20        blue        12
T624b        63        72        60        20        40        blue        9
T926r        63        18        90        20        60        red        8
T457b        63        45        40        50        70        blue        7
T341b        64        30        30        40        10        blue        35
T631b        64        60        60        30        10        blue        22
T378b        64        30        30        70        80        blue        17
T346r        64        40        30        40        60        red        8
T265b        64        20        20        60        50        blue        21
T582b        64        20        50        80        20        blue        19
T945r        64        40        90        40        50        red        10
T346b        64        60        30        40        60        blue        10
T628b        64        80        60        20        80        blue        10
T631r        64        30        60        30        10        red        7
T957r        64        50        90        50        70        red        5
T957b        64        90        90        50        70        blue        8
T165b        64        60        10        60        50        blue        10
T685r        64        60        60        80        50        red        6
T378r        64        70        30        70        80        red        6
T237r        64        30        20        30        70        red        3
T458b        64        50        40        50        80        blue        4
T328r        64        20        30        20        80        red        5
T964r        64        40        90        60        40        red        14
T387b        64        20        30        80        70        blue        6
T836r        64        30        80        30        60        red        5
T964b        64        40        90        60        40        blue        4
T893b        64        10        80        90        30        blue        4
T568b        64        40        50        60        80        blue        3
T582r        64        80        50        80        20        red        8
T648b        64        60        60        40        80        blue        12
T328b        64        70        30        20        80        blue        6
T387r        64        30        30        80        70        red        4
T893r        64        80        80        90        30        red        5
T341r        64        30        30        40        10        red        5
T982b        64        10        90        80        20        blue        4
T659r        64        60        60        50        90        red        4
T265r        64        20        20        60        50        red        3
T743r        64        70        70        40        30        red        4
T912r        64        90        90        10        20        red        4
T945b        64        10        90        40        50        blue        4
T912b        64        10        90        10        20        blue        5
T685b        64        40        60        80        50        blue        4
T497r        64        40        40        90        70        red        4
T435b        64        60        40        30        50        blue        4
T284b        64        80        20        80        40        blue        4
T165r        64        10        10        60        50        red        4
T982r        64        90        90        80        20        red        5
T659b        64        40        60        50        90        blue        3
T643b        64        40        60        40        30        blue        19
T628r        64        60        60        20        80        red        5
T458r        64        40        40        50        80        red        5
T435r        64        40        40        30        50        red        4
T836b        64        20        80        30        60        blue        3
T497b        64        60        40        90        70        blue        3
T741b        64        30        70        40        10        blue        7
T568r        64        50        50        60        80        red        3
T237b        64        80        20        30        70        blue        4
T743b        64        30        70        40        30        blue        5
T741r        64        70        70        40        10        red        5
T148b        64        90        10        40        80        blue        3
T648r        64        60        60        40        80        red        4
T284r        64        20        20        80        40        red        4
T643r        64        60        60        40        30        red        5
T148r        64        10        10        40        80        red        3
T392r        65        70        30        90        20        red        92
T218b        65        75        20        10        80        blue        23
T675b        65        30        60        70        50        blue        32
T896b        65        15        80        90        60        blue        20
T739r        65        30        70        30        90        red        39
T675r        65        60        60        70        50        red        21
T381r        65        50        30        80        10        red        18
T317b        65        75        30        10        70        blue        19
T435b        65        50        40        30        50        blue        17
T427r        65        10        40        20        70        red        17
T125r        65        5        10        20        50        red        17
T739b        65        85        70        30        90        blue        20
T768r        65        45        70        60        80        red        22
T483b        65        15        40        80        30        blue        17
T386r        65        60        30        80        60        red        35
T483r        65        50        40        80        30        red        18
T542r        65        70        50        40        20        red        34
T735r        65        35        70        30        50        red        11
T639b        65        75        60        30        90        blue        15
T467b        65        45        40        60        70        blue        18
T125b        65        10        10        20        50        blue        19
T624r        65        15        60        20        40        red        12
T395b        65        5        30        90        50        blue        14
T218r        65        5        20        10        80        red        14
T857b        65        80        80        50        70        blue        15
T624b        65        60        60        20        40        blue        17
T875b        65        50        80        70        50        blue        15
T569r        65        30        50        60        90        red        17
T671b        65        25        60        70        10        blue        12
T568r        65        40        50        60        80        red        13
T427b        65        60        40        20        70        blue        10
T639r        65        25        60        30        90        red        13
T762b        65        50        70        60        20        blue        13
T392b        65        5        30        90        20        blue        18
T684r        65        75        60        80        40        red        12
T375b        65        25        30        70        50        blue        8
T321b        65        33        30        20        10        blue        15
T184r        65        30        10        80        40        red        13
T568b        65        70        50        60        80        blue        15
T381b        65        10        30        80        10        blue        12
T671r        65        85        60        70        10        red        11
T875r        65        80        80        70        50        red        15
T317r        65        5        30        10        70        red        12
T184b        65        5        10        80        40        blue        20
T375r        65        35        30        70        50        red        11
T762r        65        60        70        60        20        red        10
T735b        65        65        70        30        50        blue        11
T691r        65        90        60        90        10        red        14
T542b        65        45        50        40        20        blue        12
T386b        65        20        30        80        60        blue        12
T395r        65        40        30        90        50        red        15
T691b        65        9        60        90        10        blue        27
T321r        65        25        30        20        10        red        23
T896r        65        85        80        90        60        red        37
T569b        65        70        50        60        90        blue        14
T684b        65        25        60        80        40        blue        13
T467r        65        45        40        60        70        red        27
T435r        65        30        40        30        50        red        11
T857r        65        50        80        50        70        red        13
T768b        65        35        70        60        80        blue        10
T561r        66        70        50        60        10        red        58
T789b        66        60        70        80        90        blue        53
T429r        66        5        40        20        90        red        33
T429b        66        80        40        20        90        blue        54
T857r        66        50        80        50        70        red        11
T648b        66        60        60        40        80        blue        35
T549r        66        10        50        40        90        red        25
T532b        66        30        50        30        20        blue        27
T523r        66        25        50        20        30        red        23
T547r        66        40        50        40        70        red        22
T725r        66        5        70        20        50        red        22
T693b        66        15        60        90        30        blue        14
T385b        66        5        30        80        50        blue        42
T564b        66        40        50        60        40        blue        23
T264b        66        20        20        60        40        blue        38
T547b        66        60        50        40        70        blue        13
T475b        66        20        40        70        50        blue        20
T561b        66        40        50        60        10        blue        22
T264r        66        40        20        60        40        red        53
T523b        66        80        50        20        30        blue        16
T857b        66        40        80        50        70        blue        33
T476r        66        70        40        70        60        red        20
T326b        66        60        30        20        60        blue        21
T845r        66        60        80        40        50        red        36
T725b        66        60        70        20        50        blue        32
T326r        66        20        30        20        60        red        24
T481b        66        20        40        80        10        blue        67
T276r        66        40        20        70        60        red        45
T845b        66        40        80        40        50        blue        14
T483r        66        40        40        80        30        red        59
T546r        66        40        50        40        60        red        14
T587b        66        20        50        80        70        blue        11
T276b        66        30        20        70        60        blue        23
T546b        66        60        50        40        60        blue        12
T694r        66        90        60        90        40        red        13
T691b        66        10        60        90        10        blue        22
T532r        66        30        50        30        20        red        14
T783b        66        20        70        80        30        blue        16
T478r        66        50        40        70        80        red        12
T691r        66        90        60        90        10        red        13
T789r        66        80        70        80        90        red        12
T362r        66        60        30        60        20        red        10
T385r        66        80        30        80        50        red        10
T481r        66        80        40        80        10        red        15
T783r        66        80        70        80        30        red        15
T719r        66        10        70        10        90        red        46
T694b        66        10        60        90        40        blue        10
T564r        66        60        50        60        40        red        12
T478b        66        30        40        70        80        blue        14
T693r        66        90        60        90        30        red        19
T587r        66        80        50        80        70        red        12
T472r        66        70        40        70        20        red        9
T648r        66        40        60        40        80        red        9
T476b        66        30        40        70        60        blue        11
T483b        66        20        40        80        30        blue        9
T549b        66        60        50        40        90        blue        9
T472b        66        30        40        70        20        blue        11
T719b        66        90        70        10        90        blue        10
T362b        66        40        30        60        20        blue        11
T475r        66        60        40        70        50        red        19
T187b        67        20        10        80        70        blue        99
T187r        67        10        10        80        70        red        63
T683r        67        60        60        80        30        red        89
T871r        67        70        80        70        10        red        77
T431r        67        40        40        30        10        red        21
T567b        67        50        50        60        70        blue        14
T926r        67        20        90        20        60        red        59
T176b        67        30        10        70        60        blue        29
T635r        67        50        60        30        50        red        38
T942r        67        60        90        40        20        red        74
T275b        67        30        20        70        50        blue        46
T619b        67        60        60        10        90        blue        49
T635b        67        60        60        30        50        blue        18
T942b        67        20        90        40        20        blue        67
T386r        67        50        30        80        60        red        44
T681r        67        60        60        80        10        red        26
T426b        67        40        40        20        60        blue        68
T729b        67        60        70        20        90        blue        39
T823r        67        60        80        20        30        red        70
T645b        67        50        60        40        50        blue        51
T652r        67        50        60        50        20        red        25
T426r        67        20        40        20        60        red        50
T129r        67        10        10        20        90        red        38
T176r        67        50        10        70        60        red        79
T834r        67        50        80        30        40        red        36
T819b        67        50        80        10        90        blue        34
T683b        67        40        60        80        30        blue        36
T431b        67        50        40        30        10        blue        18
T815r        67        50        80        10        50        red        78
T815b        67        80        80        10        50        blue        57
T269b        67        40        20        60        90        blue        35
T978b        67        50        90        70        80        blue        23
T925b        67        50        90        20        50        blue        46
T952r        67        50        90        50        20        red        33
T149r        67        10        10        40        90        red        41
T652b        67        30        60        50        20        blue        42
T978r        67        50        90        70        80        red        38
T834b        67        80        80        30        40        blue        28
T567r        67        50        50        60        70        red        17
T275r        67        50        20        70        50        red        38
T386b        67        10        30        80        60        blue        30
T659r        67        50        60        50        90        red        29
T957r        67        70        90        50        70        red        34
T645r        67        50        60        40        50        red        12
T957b        67        60        90        50        70        blue        27
T269r        67        20        20        60        90        red        32
T729r        67        50        70        20        90        red        66
T926b        67        80        90        20        60        blue        37
T871b        67        60        80        70        10        blue        36
T823b        67        50        80        20        30        blue        20
T925r        67        60        90        20        50        red        31
T982r        67        90        90        80        20        red        23
T129b        67        80        10        20        90        blue        18
T819r        67        20        80        10        90        red        56
T149b        67        60        10        40        90        blue        29
T982b        67        50        90        80        20        blue        37
T659b        67        50        60        50        90        blue        21
T619r        67        40        60        10        90        red        23
T952b        67        50        90        50        20        blue        18
T681b        67        30        60        80        10        blue        23
T632b        68        50        60        30        20        blue        66
T456b        68        50        40        50        60        blue        24
T245r        68        90        20        40        50        red        37
T647b        68        80        60        40        70        blue        12
T867r        68        60        80        60        70        red        25
T641b        68        50        60        40        10        blue        19
T582b        68        30        50        80        20        blue        19
T548b        68        70        50        40        80        blue        13
T824r        68        50        80        20        40        red        15
T749r        68        50        70        40        90        red        13
T917b        68        90        90        10        70        blue        13
T796r        68        70        70        90        60        red        10
T867b        68        70        80        60        70        blue        11
T917r        68        50        90        10        70        red        13
T943r        68        70        90        40        30        red        9
T936b        68        70        90        30        60        blue        13
T854r        68        70        80        50        40        red        13
T572b        68        30        50        70        20        blue        21
T613b        68        70        60        10        30        blue        14
T718r        68        40        70        10        80        red        18
T839b        68        90        80        30        90        blue        11
T756r        68        60        70        50        60        red        11
T827r        68        50        80        20        70        red        15
T647r        68        50        60        40        70        red        9
T238b        68        50        20        30        80        blue        13
T832b        68        70        80        30        20        blue        13
T632r        68        50        60        30        20        red        11
T582r        68        70        50        80        20        red        11
T394b        68        30        30        90        40        blue        13
T718b        68        80        70        10        80        blue        8
T756b        68        70        70        50        60        blue        16
T561b        68        30        50        60        10        blue        12
T245b        68        50        20        40        50        blue        12
T631r        68        70        60        30        10        red        14
T796b        68        40        70        90        60        blue        13
T613r        68        30        60        10        30        red        30
T832r        68        70        80        30        20        red        7
T631b        68        50        60        30        10        blue        11
T943b        68        80        90        40        30        blue        13
T749b        68        50        70        40        90        blue        13
T394r        68        50        30        90        40        red        13
T984b        68        50        90        80        40        blue        18
T398r        68        40        30        90        80        red        21
T398b        68        30        30        90        80        blue        17
T815b        68        80        80        10        50        blue        10
T561r        68        70        50        60        10        red        12
T854b        68        70        80        50        40        blue        14
T925r        68        60        90        20        50        red        8
T815r        68        50        80        10        50        red        11
T936r        68        70        90        30        60        red        16
T548r        68        50        50        40        80        red        13
T641r        68        70        60        40        10        red        10
T572r        68        70        50        70        20        red        11
T925b        68        80        90        20        50        blue        10
T984r        68        90        90        80        40        red        14
T839r        68        50        80        30        90        red        9
T827b        68        80        80        20        70        blue        18
T456r        68        50        40        50        60        red        21
T824b        68        80        80        20        40        blue        10
T238r        68        10        20        30        80        red        15
T152r        69        50        10        50        20        red        49
T194r        69        10        10        90        40        red        19
T162r        69        60        10        60        20        red        19
T895b        69        10        80        90        50        blue        13
T435b        69        40        40        30        50        blue        36
T138b        69        3        10        30        80        blue        20
T872b        69        50        80        70        20        blue        40
T286b        69        20        20        80        60        blue        21
T386r        69        20        30        80        60        red        25
T597r        69        50        50        90        70        red        503
T591r        69        50        50        90        10        red        17
T438r        69        40        40        30        80        red        19
T179r        69        2        10        70        90        red        53
T736b        69        10        70        30        60        blue        38
T367r        69        10        30        60        70        red        18
T164b        69        50        10        60        40        blue        18
T615r        69        40        60        10        50        red        21
T758b        69        10        70        50        80        blue        14
T368b        69        30        30        60        80        blue        21
T162b        69        50        10        60        20        blue        20
T872r        69        20        80        70        20        red        26
T435r        69        70        40        30        50        red        15
T598b        69        50        50        90        80        blue        7
T179b        69        10        10        70        90        blue        39
T643b        69        40        60        40        30        blue        14
T845r        69        60        80        40        50        red        37
T895r        69        10        80        90        50        red        5
T845b        69        40        80        40        50        blue        13
T821r        69        8        80        20        10        red        39
T183r        69        10        10        80        30        red        13
T152b        69        50        10        50        20        blue        8
T598r        69        50        50        90        80        red        12
T527b        69        50        50        20        70        blue        11
T368r        69        40        30        60        80        red        11
T596b        69        1        50        90        60        blue        17
T821b        69        2        80        20        10        blue        5
T597b        69        1        50        90        70        blue        17
T537r        69        1        50        30        70        red        17
T736r        69        7        70        30        60        red        11
T849b        69        50        80        40        90        blue        18
T248b        69        2        20        40        80        blue        16
T615b        69        10        60        10        50        blue        14
T729r        69        10        70        20        90        red        35
T527r        69        2        50        20        70        red        15
T729b        69        10        70        20        90        blue        9
T138r        69        10        10        30        80        red        13
T758r        69        50        70        50        80        red        16
T591b        69        5        50        90        10        blue        24
T164r        69        30        10        60        40        red        39
T248r        69        10        20        40        80        red        11
T537b        69        25        50        30        70        blue        8
